Location,Sex,Age,Total
S02000892,Male,"[17,70)",1259
S02000892,Female,"70+",297
S02000892,Male,"70+",275
S02001065,Female,"[0,17)",408
S02001065,Male,"[0,17)",378
S02001065,Female,"[17,70)",1645
S02001065,Male,"[17,70)",1519
S02001065,Female,"70+",804
S02001065,Male,"70+",744
S02000432,Female,"[0,17)",243
S02000432,Male,"[0,17)",226
S02000432,Female,"[17,70)",946
S02000432,Male,"[17,70)",875
S02000432,Female,"70+",348
S02000432,Male,"70+",323
S02000150,Female,"[0,17)",402
S02000150,Male,"[0,17)",372
S02000150,Female,"[17,70)",1451
S02000150,Male,"[17,70)",1341
S02000150,Female,"70+",597
S02000150,Male,"70+",552
S02001047,Female,"[0,17)",275
S02001047,Male,"[0,17)",255
S02001047,Female,"[17,70)",1099
S02001047,Male,"[17,70)",1015
S02001047,Female,"70+",414
S02001047,Male,"70+",383
S02001048,Female,"[0,17)",444
S02001048,Male,"[0,17)",410
S02001048,Female,"[17,70)",1715
S02001048,Male,"[17,70)",1584
S02001048,Female,"70+",687
S02001048,Male,"70+",635
S02001045,Female,"[0,17)",309
S02001045,Male,"[0,17)",286
S02001045,Female,"[17,70)",1149
S02001045,Male,"[17,70)",1062
S02001045,Female,"70+",400
S02001045,Male,"70+",370
S02001085,Female,"[0,17)",481
S02001085,Male,"[0,17)",444
S02001085,Female,"[17,70)",1752
S02001085,Male,"[17,70)",1618
S02001085,Female,"70+",668
S02001085,Male,"70+",618
S02000378,Female,"[0,17)",330
S02000378,Male,"[0,17)",306
S02000378,Female,"[17,70)",1142
S02000378,Male,"[17,70)",1055
S02000378,Female,"70+",412
S02000378,Male,"70+",382
S02000901,Female,"[0,17)",445
S02000901,Male,"[0,17)",411
S02000901,Female,"[17,70)",1711
S02000901,Male,"[17,70)",1580
S02000901,Female,"70+",384
S02000901,Male,"70+",355
S02001112,Female,"[0,17)",353
S02001112,Male,"[0,17)",327
S02001112,Female,"[17,70)",1384
S02001112,Male,"[17,70)",1279
S02001112,Female,"70+",335
S02001112,Male,"70+",310
S02000268,Female,"[0,17)",430
S02000268,Male,"[0,17)",397
S02000268,Female,"[17,70)",1649
S02000268,Male,"[17,70)",1523
S02000268,Female,"70+",753
S02000268,Male,"70+",696
S02000264,Female,"[0,17)",433
S02000264,Male,"[0,17)",401
S02000264,Female,"[17,70)",1767
S02000264,Male,"[17,70)",1632
S02000264,Female,"70+",668
S02000264,Male,"70+",617
S02001020,Female,"[0,17)",338
S02001020,Male,"[0,17)",312
S02001020,Female,"[17,70)",1493
S02001020,Male,"[17,70)",1379
S02001020,Female,"70+",515
S02001020,Male,"70+",476
S02000753,Female,"[0,17)",332
S02000753,Male,"[0,17)",307
S02000753,Female,"[17,70)",1187
S02000753,Male,"[17,70)",1097
S02000753,Female,"70+",398
S02000753,Male,"70+",368
S02000748,Female,"[0,17)",542
S02000748,Male,"[0,17)",501
S02000748,Female,"[17,70)",2016
S02000748,Male,"[17,70)",1861
S02000748,Female,"70+",828
S02000748,Male,"70+",766
S02001212,Female,"[0,17)",1322
S02001212,Male,"[0,17)",1222
S02001212,Female,"[17,70)",3832
S02001212,Male,"[17,70)",3538
S02001212,Female,"70+",624
S02001212,Male,"70+",577
S02000355,Female,"[0,17)",594
S02000355,Male,"[0,17)",549
S02000355,Female,"[17,70)",2194
S02000355,Male,"[17,70)",2027
S02000355,Female,"70+",658
S02000355,Male,"70+",609
S02000397,Female,"[0,17)",626
S02000397,Male,"[0,17)",578
S02000397,Female,"[17,70)",1718
S02000397,Male,"[17,70)",1586
S02000397,Female,"70+",640
S02000397,Male,"70+",591
S02000678,Female,"[0,17)",397
S02000678,Male,"[0,17)",367
S02000678,Female,"[17,70)",1346
S02000678,Male,"[17,70)",1244
S02000678,Female,"70+",311
S02000678,Male,"70+",288
S02000454,Female,"[0,17)",468
S02000454,Male,"[0,17)",432
S02000454,Female,"[17,70)",1604
S02000454,Male,"[17,70)",1481
S02000454,Female,"70+",434
S02000454,Male,"70+",401
S02001215,Female,"[0,17)",830
S02001215,Male,"[0,17)",768
S02001215,Female,"[17,70)",2417
S02001215,Male,"[17,70)",2232
S02001215,Female,"70+",451
S02001215,Male,"70+",417
S02001205,Female,"[0,17)",445
S02001205,Male,"[0,17)",411
S02001205,Female,"[17,70)",1560
S02001205,Male,"[17,70)",1440
S02001205,Female,"70+",493
S02001205,Male,"70+",456
S02000982,Female,"[0,17)",313
S02000982,Male,"[0,17)",289
S02000982,Female,"[17,70)",1295
S02000982,Male,"[17,70)",1197
S02000982,Female,"70+",514
S02000982,Male,"70+",475
S02000709,Female,"[0,17)",494
S02000709,Male,"[0,17)",457
S02000709,Female,"[17,70)",1887
S02000709,Male,"[17,70)",1742
S02000709,Female,"70+",530
S02000709,Male,"70+",491
S02000711,Female,"[0,17)",273
S02000711,Male,"[0,17)",253
S02000711,Female,"[17,70)",977
S02000711,Male,"[17,70)",903
S02000711,Female,"70+",271
S02000711,Male,"70+",252
S02000978,Female,"[0,17)",283
S02000978,Male,"[0,17)",262
S02000978,Female,"[17,70)",921
S02000978,Male,"[17,70)",852
S02000978,Female,"70+",333
S02000978,Male,"70+",308
S02000977,Female,"[0,17)",373
S02000977,Male,"[0,17)",346
S02000977,Female,"[17,70)",1617
S02000977,Male,"[17,70)",1494
S02000977,Female,"70+",928
S02000977,Male,"70+",858
S02001163,Female,"[0,17)",407
S02001163,Male,"[0,17)",377
S02001163,Female,"[17,70)",1307
S02001163,Male,"[17,70)",1207
S02001163,Female,"70+",560
S02001163,Male,"70+",517
S02001143,Female,"[0,17)",360
S02001143,Male,"[0,17)",334
S02001143,Female,"[17,70)",1438
S02001143,Male,"[17,70)",1328
S02001143,Female,"70+",417
S02001143,Male,"70+",385
S02001144,Female,"[0,17)",279
S02001144,Male,"[0,17)",258
S02001144,Female,"[17,70)",1006
S02001144,Male,"[17,70)",929
S02001144,Female,"70+",329
S02001144,Male,"70+",304
S02000331,Female,"[0,17)",473
S02000331,Male,"[0,17)",438
S02000331,Female,"[17,70)",1633
S02000331,Male,"[17,70)",1509
S02000331,Female,"70+",453
S02000331,Male,"70+",420
S02000418,Female,"[0,17)",341
S02000418,Male,"[0,17)",316
S02000418,Female,"[17,70)",2193
S02000418,Male,"[17,70)",2025
S02000418,Female,"70+",252
S02000418,Male,"70+",233
S02000465,Female,"[0,17)",375
S02000465,Male,"[0,17)",348
S02000465,Female,"[17,70)",1305
S02000465,Male,"[17,70)",1206
S02000465,Female,"70+",398
S02000465,Male,"70+",368
S02000802,Female,"[0,17)",496
S02000802,Male,"[0,17)",458
S02000802,Female,"[17,70)",1796
S02000802,Male,"[17,70)",1658
S02000802,Female,"70+",719
S02000802,Male,"70+",665
S02000800,Female,"[0,17)",446
S02000800,Male,"[0,17)",412
S02000800,Female,"[17,70)",1548
S02000800,Male,"[17,70)",1430
S02000800,Female,"70+",474
S02000800,Male,"70+",438
S02000250,Female,"[0,17)",249
S02000250,Male,"[0,17)",231
S02000250,Female,"[17,70)",1304
S02000250,Male,"[17,70)",1204
S02000250,Female,"70+",435
S02000250,Male,"70+",403
S02000190,Female,"[0,17)",316
S02000190,Male,"[0,17)",293
S02000190,Female,"[17,70)",1226
S02000190,Male,"[17,70)",1132
S02000190,Female,"70+",501
S02000190,Male,"70+",464
S02001168,Female,"[0,17)",504
S02001168,Male,"[0,17)",466
S02001168,Female,"[17,70)",1792
S02001168,Male,"[17,70)",1655
S02001168,Female,"70+",498
S02001168,Male,"70+",461
S02000423,Female,"[0,17)",526
S02000423,Male,"[0,17)",486
S02000423,Female,"[17,70)",1876
S02000423,Male,"[17,70)",1732
S02000423,Female,"70+",365
S02000423,Male,"70+",337
S02001147,Female,"[0,17)",299
S02001147,Male,"[0,17)",277
S02001147,Female,"[17,70)",1028
S02001147,Male,"[17,70)",949
S02001147,Female,"70+",255
S02001147,Male,"70+",236
S02001145,Female,"[0,17)",296
S02001145,Male,"[0,17)",275
S02001145,Female,"[17,70)",1099
S02001145,Male,"[17,70)",1016
S02001145,Female,"70+",430
S02001145,Male,"70+",398
S02000779,Female,"[0,17)",316
S02000779,Male,"[0,17)",292
S02000779,Female,"[17,70)",1502
S02000779,Male,"[17,70)",1388
S02000779,Female,"70+",444
S02000779,Male,"70+",411
S02000456,Female,"[0,17)",316
S02000456,Male,"[0,17)",292
S02000456,Female,"[17,70)",1249
S02000456,Male,"[17,70)",1154
S02000456,Female,"70+",385
S02000456,Male,"70+",356
S02000440,Female,"[0,17)",508
S02000440,Male,"[0,17)",470
S02000440,Female,"[17,70)",1594
S02000440,Male,"[17,70)",1473
S02000440,Female,"70+",408
S02000440,Male,"70+",378
S02000782,Female,"[0,17)",569
S02000782,Male,"[0,17)",526
S02000782,Female,"[17,70)",1633
S02000782,Male,"[17,70)",1508
S02000782,Female,"70+",325
S02000782,Male,"70+",301
S02000011,Female,"[0,17)",327
S02000011,Male,"[0,17)",302
S02000011,Female,"[17,70)",1739
S02000011,Male,"[17,70)",1607
S02000011,Female,"70+",375
S02000011,Male,"70+",347
S02000013,Female,"[0,17)",336
S02000013,Male,"[0,17)",312
S02000013,Female,"[17,70)",1540
S02000013,Male,"[17,70)",1422
S02000013,Female,"70+",570
S02000013,Male,"70+",527
S02000009,Female,"[0,17)",325
S02000009,Male,"[0,17)",301
S02000009,Female,"[17,70)",1244
S02000009,Male,"[17,70)",1149
S02000009,Female,"70+",546
S02000009,Male,"70+",504
S02000620,Female,"[0,17)",566
S02000620,Male,"[0,17)",524
S02000620,Female,"[17,70)",1986
S02000620,Male,"[17,70)",1834
S02000620,Female,"70+",395
S02000620,Male,"70+",366
S02000347,Female,"[0,17)",325
S02000347,Male,"[0,17)",301
S02000347,Female,"[17,70)",1049
S02000347,Male,"[17,70)",969
S02000347,Female,"70+",345
S02000347,Male,"70+",320
S02000126,Female,"[0,17)",325
S02000126,Male,"[0,17)",300
S02000126,Female,"[17,70)",1072
